Class ID	Preferred Label	Synonyms	Definitions	Obsolete	CUI	Semantic Types	Parents	Citation	Created in	Documentation	Example	File extension	has format	has function	has identifier	has input	has output	has topic	Hide in subset	http://data.bioontology.org/metadata/prefixIRI	http://edamontology.org/next_id	http://edamontology.org/noClue	http://purl.obolibrary.org/obo/date	http://purl.obolibrary.org/obo/default-relationship-id-prefix	http://purl.obolibrary.org/obo/edam#data	http://purl.obolibrary.org/obo/edam#edam	http://purl.obolibrary.org/obo/edam#events	http://purl.obolibrary.org/obo/edam#formats	http://purl.obolibrary.org/obo/edam#identifiers	http://purl.obolibrary.org/obo/edam#obsolete	http://purl.obolibrary.org/obo/edam#operations	http://purl.obolibrary.org/obo/edam#topics	http://purl.obolibrary.org/obo/idspace	http://purl.obolibrary.org/obo/is_anti_symmetric	http://purl.obolibrary.org/obo/is_metadata_tag	http://purl.obolibrary.org/obo/is_reflexive	http://purl.obolibrary.org/obo/is_symmetric	http://purl.obolibrary.org/obo/namespace	http://purl.obolibrary.org/obo/remark	http://purl.obolibrary.org/obo/transitive_over	http://purl.org/dc/elements/1.1/contributor	http://purl.org/dc/elements/1.1/creator	http://purl.org/dc/elements/1.1/format	http://purl.org/dc/elements/1.1/title	http://usefulinc.com/ns/doap#Version	http://www.geneontology.org/formats/oboInOwl#consider	http://www.geneontology.org/formats/oboInOwl#hasAlternativeId	http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym	http://www.geneontology.org/formats/oboInOwl#hasDbXref	http://www.geneontology.org/formats/oboInOwl#hasDefinition	http://www.geneontology.org/formats/oboInOwl#hasExactSynonym	http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym	http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym	http://www.geneontology.org/formats/oboInOwl#hasSubset	http://www.geneontology.org/formats/oboInOwl#inSubset	http://www.geneontology.org/formats/oboInOwl#isCyclic	http://www.geneontology.org/formats/oboInOwl#replacedBy	http://www.geneontology.org/formats/oboInOwl#savedBy	http://www.geneontology.org/formats/oboInOwl#SubsetProperty	http://xmlns.com/foaf/0.1/page	is format of	is function of	is identifier of	is input of	is output of	is topic of	isdebtag	Media type	Obsolete since	Regular expression	Related term
http://edamontology.org/data__R0uFIvsA9tQJYZz8NM3Smk	Multi-channel image			FALSE			http://edamontology.org/data_Image													data__R0uFIvsA9tQJYZz8NM3Smk																																			bioimaging|data|edam																
http://edamontology.org/data__R7sy3JByrUsyKaGNYQ1eSQF	Temporal properties			FALSE			http://edamontology.org/data__R80aNLt4YY02ByptWQa2yrY													data__R7sy3JByrUsyKaGNYQ1eSQF																																			bioimaging|data|edam																
http://edamontology.org/data__R7Vdp7H5PzNJiqA7JaEEPrJ	Image radiometric noise characteristics			FALSE			http://edamontology.org/data__RDr5D5pOVdnB8hASL1LG8HH													data__R7Vdp7H5PzNJiqA7JaEEPrJ																																			bioimaging|data|edam																
http://edamontology.org/data__R7Xr4YLUfGpHoI3FnAzgMnA	Spatial properties			FALSE			http://edamontology.org/data__R80aNLt4YY02ByptWQa2yrY													data__R7Xr4YLUfGpHoI3FnAzgMnA																																			bioimaging|data|edam																
http://edamontology.org/data__R80aNLt4YY02ByptWQa2yrY	Image characteristics	Image metadata		FALSE			http://edamontology.org/data_0006													data__R80aNLt4YY02ByptWQa2yrY																																Image metadata			bioimaging|data|edam																
http://edamontology.org/data__R9P4sScuriz9yN8l827hrLo	Object velocity	Object speed		FALSE			http://edamontology.org/data__Rj7rpnkJ6SPPwWkQ4x3Wik													data__R9P4sScuriz9yN8l827hrLo																															Object speed				bioimaging|data|edam																
http://edamontology.org/data__R9yc0jq1eJBgmvEQwMcRSUS	Spatial image resolution			FALSE			http://edamontology.org/data__R7Xr4YLUfGpHoI3FnAzgMnA													data__R9yc0jq1eJBgmvEQwMcRSUS																																			bioimaging|data|edam																
http://edamontology.org/data__RCDMkOl5gzD23OFsPf6vr4a	Spectral properties			FALSE			http://edamontology.org/data__R80aNLt4YY02ByptWQa2yrY													data__RCDMkOl5gzD23OFsPf6vr4a																																			bioimaging|data|edam																
http://edamontology.org/data__RCjZhkavxxifpvdNiasVVCc	Radiometric properties			FALSE			http://edamontology.org/data__R80aNLt4YY02ByptWQa2yrY													data__RCjZhkavxxifpvdNiasVVCc																																			bioimaging|data|edam																
http://edamontology.org/data__RCMgLYJyn9WJyCc3bA23xT1	Image time series	Time-series image|Movie|Time-lapse image|Video sequence		FALSE			http://edamontology.org/data_Image|http://edamontology.org/data_Time-lapse_data													data__RCMgLYJyn9WJyCc3bA23xT1																															Time-series image	Movie|Time-lapse image|Video sequence			bioimaging|data|edam																
