Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,Citation,Created in,Documentation,Example,File extension,has format,has function,has identifier,has input,has output,has topic,Hide in subset,http://data.bioontology.org/metadata/prefixIRI,http://edamontology.org/next_id,http://edamontology.org/noClue,http://purl.obolibrary.org/obo/date,http://purl.obolibrary.org/obo/default-relationship-id-prefix,http://purl.obolibrary.org/obo/edam#data,http://purl.obolibrary.org/obo/edam#edam,http://purl.obolibrary.org/obo/edam#events,http://purl.obolibrary.org/obo/edam#formats,http://purl.obolibrary.org/obo/edam#identifiers,http://purl.obolibrary.org/obo/edam#obsolete,http://purl.obolibrary.org/obo/edam#operations,http://purl.obolibrary.org/obo/edam#topics,http://purl.obolibrary.org/obo/idspace,http://purl.obolibrary.org/obo/is_anti_symmetric,http://purl.obolibrary.org/obo/is_metadata_tag,http://purl.obolibrary.org/obo/is_reflexive,http://purl.obolibrary.org/obo/is_symmetric,http://purl.obolibrary.org/obo/namespace,http://purl.obolibrary.org/obo/remark,http://purl.obolibrary.org/obo/transitive_over,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/title,http://usefulinc.com/ns/doap#Version,http://www.geneontology.org/formats/oboInOwl#consider,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasDefinition,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,http://www.geneontology.org/formats/oboInOwl#hasSubset,http://www.geneontology.org/formats/oboInOwl#inSubset,http://www.geneontology.org/formats/oboInOwl#isCyclic,http://www.geneontology.org/formats/oboInOwl#replacedBy,http://www.geneontology.org/formats/oboInOwl#savedBy,http://www.geneontology.org/formats/oboInOwl#SubsetProperty,http://xmlns.com/foaf/0.1/page,is format of,is function of,is identifier of,is input of,is output of,is topic of,isdebtag,Media type,Obsolete since,Regular expression,Related term
http://edamontology.org/data____Image_formation_characteristics,Image formation characteristics,,,FALSE,,,http://edamontology.org/data__R80aNLt4YY02ByptWQa2yrY,,,,,,,,,,,,,data____Image_formation_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://edamontology.org/data____Image_sensor_characteristics,Image sensor characteristics,,,FALSE,,,http://edamontology.org/data____Image_formation_characteristics,,,,,,,,,,,,,data____Image_sensor_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://edamontology.org/data____Instrument_distortion_characteristics,Instrument distortion characteristics,Lens distortion characteristics,,FALSE,,,http://edamontology.org/data____Image_formation_characteristics,,,,,,,,,,,,,data____Instrument_distortion_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lens distortion characteristics,,,,,,,,,,,,,,,,,,,,
http://edamontology.org/data____Instrument_response_function,Instrument response function,IRF,,FALSE,,,http://edamontology.org/data____Image_formation_characteristics,,,,,,,,,,,,,data____Instrument_response_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRF,,,,,,,,,,,,,,,,,,,,
http://edamontology.org/data____Optical_transfer_function,Optical transfer function,OTF,,FALSE,,,http://edamontology.org/data____Image_formation_characteristics,,,,,,,,,,,,,data____Optical_transfer_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTF,,,,,,,,,,,,,,,,,,,,
http://edamontology.org/data____Point_spread_function,Point spread function,PSF,,FALSE,,,http://edamontology.org/data____Image_formation_characteristics,,,,,,,,,,,,,data____Point_spread_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSF,,,,,,,,,,,,,,,,,,,,
http://edamontology.org/data____Spatial_coordinates,Spatial coordinates,,,FALSE,,,http://edamontology.org/data__R7Xr4YLUfGpHoI3FnAzgMnA,,,,,,,,,,,,,data____Spatial_coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://edamontology.org/data__R0uFIvsA9tQJYZz8NM3Smk,Multi-channel image,,,FALSE,,,http://edamontology.org/data_Image,,,,,,,,,,,,,data__R0uFIvsA9tQJYZz8NM3Smk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bioimaging|data|edam,,,,,,,,,,,,,,,,
http://edamontology.org/data__R7sy3JByrUsyKaGNYQ1eSQF,Temporal properties,,,FALSE,,,http://edamontology.org/data__R80aNLt4YY02ByptWQa2yrY,,,,,,,,,,,,,data__R7sy3JByrUsyKaGNYQ1eSQF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bioimaging|data|edam,,,,,,,,,,,,,,,,
http://edamontology.org/data__R7Vdp7H5PzNJiqA7JaEEPrJ,Image radiometric noise characteristics,,,FALSE,,,http://edamontology.org/data__RDr5D5pOVdnB8hASL1LG8HH,,,,,,,,,,,,,data__R7Vdp7H5PzNJiqA7JaEEPrJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bioimaging|data|edam,,,,,,,,,,,,,,,,
